,Name,Ave. degree,Ave. shortest path,Graph diameter,Graph density,Graph clustering coefficient,Ave. closeness centrality,Ave. betweenness centrality,Ave. eigenvector centrality,1-WL color count
0,AIDS,2.0128653862178325,3.490507728804514,7.762604013705335,0.1935408261794486,0.007174616677952509,0.3500774185559109,0.19119618440125236,0.262770387548969,11.8145
1,BZR,2.1466610419897387,5.154837461860052,11.65679012345679,0.06489204051787123,8.903397114779228e-05,0.20548464429328755,0.12452912633106282,0.14165304372126794,29.607407407407408
2,BZR_MD,20.30392156862745,1.0,1.0,1.0,1.0,1.0,0.0,0.22037266896619787,1.0
3,COX2,2.1077350094691076,5.936420803578038,13.790149892933618,0.05290524723592576,0.0007216110850642931,0.17572090229055026,0.1262987138392391,0.12882653421576828,28.094218415417558
4,COX2_MD,25.277227722772277,1.0,1.0,1.0,1.0,1.0,0.0,0.19570341936576469,1.0
5,DHFR,2.1023598906224366,6.144674814243727,14.603174603174603,0.05367546669707411,0.0,0.17342643531633484,0.12885007655713435,0.1271607693927877,32.21560846560847
6,DHFR_MD,22.8676844783715,1.0,1.0,1.0,1.0,1.0,0.0,0.20766206788102382,1.0
7,ER_MD,20.327354260089685,1.0,1.0,1.0,1.0,1.0,0.0,0.22446950399663396,1.0
8,FRANKENSTEIN,2.0627741588132293,3.6742676066855067,8.423452029938762,0.17050387190607433,0.010682632926275684,0.3148146889108825,0.19236063173769283,0.2432099454364741,13.424486972561679
9,MCF-7,2.1516180606917765,5.050070569624072,12.141178938535766,0.0980572307942984,0.002034516496965304,0.21754447915641023,0.17240770677514886,0.1725022149133201,21.418113071660066
10,MCF-7H,2.0888838372172147,5.858613378052236,13.306228605946707,0.053722767644934284,0.0005825022974507927,0.1778419519669024,0.11982176212079257,0.12233626590229589,32.9756211739287
11,MOLT-4,2.146077948348501,4.951738679286625,11.874633536790503,0.09870822473037179,0.0019246147011501233,0.2183304220273518,0.1714407445609207,0.1734293274657891,21.028995347667546
12,MOLT-4H,2.0858484049375803,5.738056140581633,12.992424764134702,0.05394893553201763,0.000534384328194302,0.17815930623996007,0.11926367808533689,0.12289301984809232,32.272249465610464
13,Mutagenicity,2.0379886209469995,4.418912992995495,9.63701923076923,0.0912875415379717,0.0031125822886973542,0.24666349399840612,0.13717542843564146,0.1710356482094367,20.874567673507034
14,MUTAG,2.18877208359698,3.6261509571828285,8.21808510638298,0.1384540671648269,0.0,0.29376405409251405,0.16944597519443652,0.21973533851339722,14.803191489361701
15,NCI1,2.1550138021472596,5.234873158476093,12.659402381487306,0.08894491067108404,0.0030999008340164566,0.20261866655836158,0.1631676786426253,0.16073259231797346,24.721411192214113
16,NCI109,2.156446177386937,5.183950502801717,12.49528936742934,0.08942866902451517,0.003073238935522853,0.20411132911515004,0.16242311348456948,0.16175855527089764,24.52410952265568
17,NCI-H23,2.1451602406810686,4.950946501654924,11.869525050337558,0.09877766281287599,0.0018996992922189655,0.21835351434388386,0.17157924567175548,0.17352080317554322,20.99303645329963
18,NCI-H23H,2.085327596320919,5.734343001278942,12.983736711151323,0.0539842770435475,0.0005268942359655766,0.1782099752168056,0.11928910417396076,0.12296352647989625,32.22578246970485
19,OVCAR-8,2.145637268375766,4.945169149304127,11.85222800857742,0.09877300402113286,0.0018986224960467453,0.21839416960649569,0.171403631603811,0.1735393405097124,20.985561259749236
20,OVCAR-8H,2.0856259705836995,5.728655397369023,12.966769410758882,0.05397770711718256,0.0005298176630677993,0.17821296655494356,0.11921485111626241,0.12296651708048262,32.22561457202093
21,P388,2.1092171124549135,4.355752638151867,10.21824835544779,0.11907878595811643,0.003754469717768768,0.24599572786571924,0.1789538865626834,0.1958220277248745,17.133174189814813
22,P388H,2.0638945394922854,5.289795718220624,11.765664188214405,0.06396383933662923,0.0009642194122106487,0.1971310478874152,0.1240122910178544,0.13732379055410687,26.711009837962962
23,PC-3,2.1520653447146643,5.05018085139685,12.140862989009436,0.09805520030908409,0.001973313575461861,0.21758158052327958,0.17254928734075267,0.17256072089366403,21.373405067432476
24,PC-3H,2.0892238469042197,5.857822430952191,13.30650249313117,0.053765675061331855,0.0005561305149752655,0.17791895648696812,0.12002473598207128,0.12246656876298444,32.881929550328984
25,PTC_FM,1.9758043374578045,3.311647990381311,7.36676217765043,0.21549447407001718,0.009122098682496813,0.36930034279139035,0.2055882581121011,0.2786143302706905,9.914040114613181
26,PTC_FR,1.9863111707899306,3.3876622688928357,7.589743589743589,0.20855686386566394,0.008821457944264961,0.36126729576029515,0.20453588681749968,0.27340087907391625,10.222222222222221
27,PTC_MM,1.9701179610121817,3.301432053360394,7.339285714285714,0.22234529258573774,0.013058213716108455,0.37448820742021305,0.2059637189235834,0.2823441282735879,9.803571428571429
28,PTC_MR,1.9805375618297,3.3577641223936463,7.523255813953488,0.21378888961922285,0.009509685286154075,0.36664732969242814,0.20621705092773565,0.27776845259092225,10.040697674418604
29,SF-295,2.145489384462884,4.9445677038396125,11.852116182572614,0.09881526807439003,0.0019131887956769253,0.2184346701016761,0.17147610597613142,0.17359197433597898,20.97159246107621
30,SF-295H,2.0855234748235936,5.727434951743517,12.966427455685599,0.05398955797582349,0.0005299113307649701,0.17826971108085762,0.11920367867942111,0.12298167333008167,32.196146110104046
31,SN12C,2.145026913904858,4.94825141099449,11.86401279205747,0.09879364395035078,0.001927945706436004,0.2183468315283276,0.17149758308489568,0.1735570013676089,20.991675832416757
32,SN12CH,2.0853053252079072,5.730086714838555,12.973598487437071,0.0540104189866913,0.0005390487212868357,0.17819387572101364,0.11926865619212793,0.12300773962966534,32.236301369863014
33,SW-620,2.1452310279340394,4.94393636762053,11.851577038136291,0.09887460052324622,0.0018522578567537649,0.21850037947085488,0.17149208266041296,0.1736489333480562,20.971972762261917
34,SW-620H,2.0854275176564645,5.725806234940699,12.962851360467731,0.05405454461083806,0.0005110193017508671,0.1783225632271403,0.11928390525127425,0.12308201117205227,32.19651139840126
35,UACC257,2.145698715720169,4.955834964420495,11.885704040162564,0.09872501957032967,0.0018738116805416716,0.218300263582104,0.17162213759497558,0.17346310068151766,20.994198259477844
36,UACC257H,2.0856917230912635,5.740515645090362,13.003174313183676,0.05397499902850442,0.0005209407683445386,0.17818066629746054,0.11936405150725742,0.122956068725157,32.22436731019306
37,Yeast,2.099442849357738,4.364322361013096,10.263432570276361,0.12105531275136877,0.0022671334945899278,0.2476806589296417,0.183060827627568,0.19856657679511588,16.67475282973832
38,YeastH,2.0589509621359707,5.245391698622407,11.6875493153864,0.06427047324571071,0.0005773570062507876,0.19838725378910832,0.12546552819867565,0.13848179293675458,26.053202849210436
